Number_of_Vehicles,Number_of_Casualties,Month
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,2,January
2,2,January
1,1,January
2,1,January
3,2,January
1,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,3,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
1,1,January
1,3,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
1,2,January
1,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
2,1,January
3,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,3,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
2,1,January
2,4,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,2,January
2,1,January
2,2,January
1,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,2,January
3,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,2,January
2,1,January
4,1,January
2,1,January
1,1,January
1,2,January
1,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
4,1,January
2,1,January
2,2,January
2,1,January
1,1,January
1,1,January
2,1,January
2,6,January
1,1,January
2,1,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
1,1,January
3,2,January
1,1,January
2,1,January
2,2,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
3,2,January
1,1,January
1,2,January
1,1,January
2,1,January
2,1,January
1,1,January
3,2,January
2,1,January
1,1,January
1,1,January
1,1,January
1,2,January
2,2,January
1,1,January
2,1,January
2,1,January
3,2,January
2,3,January
2,1,January
1,1,January
2,5,January
1,1,January
2,3,January
1,1,January
1,2,January
2,1,January
2,1,January
3,1,January
2,2,January
2,1,January
1,2,January
2,1,January
4,3,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
3,1,January
2,5,January
2,2,January
3,1,January
2,1,January
1,1,January
2,1,January
1,1,January
4,1,January
2,1,January
1,1,January
3,1,January
3,2,January
2,1,January
1,1,January
1,1,January
2,2,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,3,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
3,1,January
3,2,January
3,1,January
2,1,January
1,2,January
2,1,January
2,1,January
1,1,January
2,3,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
1,1,January
1,2,January
2,4,January
1,2,January
2,2,January
2,1,January
1,3,January
5,1,January
2,2,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,2,January
2,1,January
4,2,January
2,2,January
2,1,January
2,1,January
3,4,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,2,January
2,2,January
1,1,January
1,2,January
1,1,January
1,2,January
2,2,January
2,1,January
2,1,January
1,1,January
2,6,January
1,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,2,January
1,1,January
1,2,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,4,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,2,January
1,1,January
1,1,January
1,1,January
3,1,January
2,1,January
2,1,January
3,1,January
3,1,January
3,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,2,January
3,1,January
2,3,January
2,1,January
2,2,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,2,January
1,1,January
1,1,January
2,3,January
2,2,January
1,1,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,2,January
2,1,January
3,1,January
1,1,January
2,2,January
3,4,January
2,1,January
1,1,January
4,1,January
2,2,January
2,1,January
2,1,January
1,3,January
2,2,January
2,1,January
1,1,January
1,3,January
1,1,January
1,1,January
2,1,January
1,1,January
3,2,January
1,1,January
2,1,January
2,1,January
2,1,January
3,3,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,2,January
1,1,January
3,1,January
1,1,January
3,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,2,January
1,1,January
2,3,January
2,1,January
2,1,January
2,3,January
1,1,January
1,1,January
1,1,January
2,2,January
2,1,January
3,1,January
2,2,January
1,1,January
2,2,January
5,1,January
1,1,January
4,2,January
2,1,January
1,3,January
3,2,January
1,1,January
2,1,January
2,1,January
2,1,January
3,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,4,January
2,3,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
5,3,January
2,1,January
2,2,January
2,2,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
3,3,January
2,1,January
1,1,January
2,1,January
3,3,January
1,1,January
2,1,January
1,1,January
2,3,January
1,1,January
2,2,January
1,1,January
1,1,January
3,3,January
1,1,January
2,1,January
3,1,January
2,1,January
2,1,January
3,2,January
1,1,January
5,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
4,1,January
2,2,January
3,2,January
2,6,January
4,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,2,January
1,1,January
2,3,January
1,1,January
1,3,January
1,2,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,2,January
2,1,January
1,1,January
3,1,January
3,2,January
1,1,January
1,1,January
1,1,January
2,1,January
3,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
3,1,January
1,1,January
1,1,January
2,1,January
3,1,January
2,1,January
1,1,January
3,1,January
1,1,January
1,2,January
2,1,January
2,3,January
2,1,January
2,1,January
2,1,January
1,2,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,2,January
2,2,January
2,2,January
1,1,January
2,1,January
2,3,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
4,3,January
2,1,January
2,1,January
2,1,January
2,1,January
1,2,January
1,4,January
2,2,January
2,2,January
1,1,January
2,3,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,3,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
1,1,January
2,1,January
1,2,January
4,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,2,January
1,1,January
1,1,January
2,3,January
1,1,January
2,1,January
2,1,January
2,2,January
3,2,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
3,2,January
2,1,January
2,1,January
1,1,January
1,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,2,January
2,1,January
3,2,January
3,4,January
1,1,January
2,1,January
3,1,January
2,2,January
2,1,January
2,1,January
2,3,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,2,January
2,2,January
2,1,January
1,1,January
1,1,January
1,1,January
3,2,January
1,1,January
2,1,January
1,1,January
1,2,January
1,1,January
2,3,January
2,1,January
2,3,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
2,4,January
1,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,5,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,1,January
1,1,January
2,2,January
3,1,January
2,1,January
2,4,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
3,1,January
1,1,January
2,1,January
1,2,January
2,1,January
2,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
3,1,January
4,2,January
2,1,January
2,2,January
1,1,January
3,3,January
2,1,January
2,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
3,2,January
2,1,January
2,1,January
2,1,January
2,2,January
2,4,January
2,1,January
1,1,January
2,1,January
1,1,January
1,2,January
2,1,January
2,2,January
1,1,January
1,1,January
1,2,January
1,1,January
1,1,January
1,1,January
3,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
1,1,January
1,1,January
1,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
3,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,2,January
3,3,January
2,1,January
2,1,January
1,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
3,1,January
2,3,January
1,1,January
3,2,January
3,2,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
2,1,January
1,2,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,1,January
1,1,January
3,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
2,1,January
3,2,January
2,2,January
2,1,January
3,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,2,January
1,6,January
1,1,January
2,2,January
2,1,January
2,1,January
3,1,January
2,1,January
2,1,January
3,1,January
2,2,January
2,1,January
1,1,January
3,5,January
5,2,January
2,4,January
3,1,January
2,1,January
2,2,January
2,1,January
2,1,January
2,1,January
2,5,January
2,1,January
2,3,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
4,1,January
1,1,January
2,1,January
2,1,January
4,1,January
2,1,January
2,1,January
3,1,January
2,1,January
2,2,January
2,1,January
1,1,January
2,2,January
2,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
5,1,January
1,1,January
2,1,January
2,2,January
1,1,January
2,3,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
2,1,January
2,3,January
2,1,January
3,1,January
2,1,January
2,1,January
2,1,January
2,2,January
2,3,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
2,1,January
3,1,January
2,1,January
2,1,January
2,2,January
2,2,January
2,1,January
1,1,January
2,1,January
2,1,January
2,1,January
1,1,January
2,1,January
2,3,January
1,2,January
2,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,2,January
1,1,January
1,1,January
2,2,January
1,2,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,2,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,2,January
1,1,January
1,1,January
2,1,January
2,1,January
1,1,January
3,4,January
2,1,January
1,1,January
2,2,January
1,1,January
2,1,January
2,1,January
3,2,January
1,1,January
3,1,January
1,1,January
4,2,January
2,1,January
5,2,January
2,1,January
2,1,January
2,1,January
3,1,January
1,1,January
2,1,January
1,1,January
1,1,January
2,1,January
1,1,January
3,1,January
1,1,January
1,1,January
2,1,January
